year,month,code,destination,net_mass,fob_etb,fob_usd
2016,01,12074090,China,34789000.00,722493432.97,33260754.39
2016,01,07099900,Somalia,3151842.00,336127398.16,15473982.63
2016,01,06031100,Netherlands,2998823.02,250698566.95,11541175.44
2016,01,09011100,Saudi Arabia,2285800.00,152632213.27,7026586.44
2016,01,12074090,Israel,6346000.00,128899722.32,5934035.95
2016,01,02045000,United Arab Emirates,893226.92,100902321.88,4645145.81
2016,01,07099900,Djibouti,622689.53,99972328.78,4602332.59
2016,01,01022910,Somalia,2438285.00,92982510.40,4280548.86
2016,01,12074090,China,3990000.00,84602483.62,3894765.41
2016,01,07139000,Indonesia,2590000.00,66201615.66,3047661.86
2016,01,07133300,Pakistan,5088000.00,65714484.83,3025236.27
2016,01,09011100,Germany,864000.00,64809085.20,2983555.24
2016,01,02045000,Saudi Arabia,546061.60,64634342.49,2975510.77
2016,01,09011100,Belgium,778800.00,52354322.68,2410186.98
2016,01,09041100,Sudan,575050.00,42920228.47,1975878.41
2016,01,09011100,Germany,613200.00,42032800.99,1935024.74
2016,01,64059000,United States,88625.46,41664823.09,1918084.49
2016,01,07135000,Sudan,2680000.00,39983075.24,1840663.44
2016,01,12074090,Jordan,1938000.00,39740873.15,1829513.41
2016,01,12079990,United States,1950000.00,39681129.72,1826763.05
2016,01,06031900,Netherlands,331830.82,35002360.92,1611370.95
2016,01,07133300,India,2981648.00,34992652.11,1610923.99
2016,01,09011100,United States,403560.00,33928277.43,1561924.37
2016,01,12074090,Saudi Arabia,1555883.00,33853366.10,1558475.75
2016,01,09011100,Japan,610800.00,33634110.91,1548382.10
2016,01,09011100,Japan,545280.00,33047663.95,1521384.39
2016,01,07019000,Somalia,5086817.00,31666341.91,1457793.76
2016,01,12074090,Singapore,1519850.00,29329898.66,1350233.11
2016,01,12074090,Yemen,1450000.00,28831048.09,1327267.99
2016,01,09011100,"Korea, Republic of",397200.00,27790568.40,1279368.40
2016,01,06021000,Netherlands,53145.00,27186299.47,1251550.24
2016,01,07135000,Sudan,1708000.00,25433902.60,1170876.78
