year,code,destination,net_mass,fob_etb,fob_usd
2016,7139000,Indonesia,11976000.0,284518636.17,13098118.33
2016,41131000,Romania,398.0,191848.88,8831.97
2016,7129090,Chad,328.1,248026.32,11418.16
2016,9041100,Sudan,2083232.0,140554738.51,6470587.02
2016,9011100,Sudan,5126100.0,222485354.77,10242350.18
2016,2045000,Saudi Arabia,3884368.25,460242126.5,21187736.29
2016,7133900,India,1286000.0,27062736.63,1245861.89
2016,7133900,Indonesia,1508000.0,37008422.01,1703722.12
2016,6021000,Netherlands,460308.0,168949344.5,7777762.95
2016,7099900,Djibouti,5955140.72,848140891.72,39045068.93
2016,6031100,Saudi Arabia,1475016.97,124114837.42,5713758.68
2016,12074090,United States,1877000.0,45245806.87,2082938.89
2016,9011100,Australia,2904000.0,292984566.19,13487856.43
2016,7132000,Pakistan,27844000.0,529415213.76,24372193.0
2016,6021000,United States,114967.0,58104055.96,2674882.08
2016,41131000,China,836226.7,212365611.33,9776477.02
2016,1041000,Saudi Arabia,1975656.0,112051718.01,5158420.13
2016,12074090,Yemen,5569750.0,117697406.71,5418325.43
2016,6031100,Netherlands,24155388.39,2112471187.92,97249860.19
2016,9011100,Belgium,10769940.0,972795418.99,44783672.8
2016,9011100,"Korea, Republic of",7664640.0,752033113.54,34620645.03
2016,52052200,Turkey,1670029.58,86788990.75,3995423.59
2016,9011100,United Kingdom,3481770.0,406668758.79,18721429.27
2016,6031900,Netherlands,2599624.44,264129751.18,12159494.29
2016,12074090,Saudi Arabia,5179876.0,115746515.85,5328514.08
2016,9011100,Japan,11884080.0,833759084.75,38382987.13
2016,12074090,Turkey,6858000.0,146909535.85,6763136.89
2016,12074090,Jordan,7481000.0,165327993.69,7611050.21
2016,7133300,Pakistan,26186000.0,317146265.87,14600165.99
2016,9011100,Sweden,1762320.0,139076747.72,6402546.15
2016,7133300,India,19822220.0,223651459.63,10296033.04
2016,12074090,Israel,36649090.0,842853952.62,38801679.06
2016,12079990,United States,18593820.0,447902665.86,20619676.08
2016,9011100,Italy,6825000.0,637931440.53,29367853.04
2016,1061300,Egypt,4407553.5,167402245.11,7706540.57
2016,7133300,Kenya,14753538.0,119755620.36,5513077.48
2016,7139000,India,1331400.0,29801401.31,1371939.23
2016,12074090,Singapore,4559700.0,90753890.17,4177951.96
