year,code,country_origin,country_consignment,net_mass,cif_etb,cif_usd
2016,84118100,United States,France,150.0,5811744.15,267549.83
2016,85171100,India,India,20335.0,5790480.26,266570.92
2016,84137090,United Kingdom,United Kingdom,3682.0,1735276.07,79885.28
2016,69029000,China,United Arab Emirates,124240.0,1730957.19,79686.46
2016,56039400,Slovakia,Turkey,11602.0,1695687.43,78062.78
2016,39042200,"Korea, Republic of",Djibouti,64000.0,1688671.33,77739.78
2016,73201000,China,Hong Kong,54959.0,1682184.88,77441.17
2016,73262090,China,China,28305526.58,8315088.77,1643896.67
2016,84209100,India,India,64698.69,1698023.87,80020.81
2016,87089300,Japan,United Arab Emirates,5054784.34,4317885.71,429432.72
2016,16041400,Thailand,Djibouti,8476707.94,7037006.43,695271.13
2016,84282000,China,China,38826406.05,7968157.52,2127180.17
2016,73143900,China,China,3812968.55,67578705.95,3245195.85
2016,40169900,China,China,8882141.09,7003160.88,717475.33
2016,84717000,Thailand,United Arab Emirates,2665606.32,5046748.15,355015.92
2016,87149900,China,China,4707729.61,5331114.73,451809.38
2016,73241000,China,China,4212848.11,3947687.6,360209.42
2016,84144000,India,India,6254846.29,2103856.23,383186.4
2016,87088000,South Africa,South Africa,3180269.15,5900559.56,416847.52
2016,48025600,India,United Arab Emirates,5275230.88,2721809.23,351876.02
2016,61121200,China,China,4790603.4,3245728.52,368106.6
2016,68022300,China,China,42227473.93,56953391.09,4015829.01
2016,85013400,China,China,3664909.36,30114698.47,1545266.9
2016,90189000,Germany,United Arab Emirates,1014472.24,5947153.83,320377.41
2016,22021000,Sudan,Sudan,13556963.76,8354580.83,831720.9
2016,38089190,Denmark,Denmark,10274879.14,20537908.62,1402965.18
2016,84323000,Italy,Italy,3766969.85,5666885.57,431961.06
2016,34012090,Egypt,Egypt,7817716.23,5909556.88,617105.66
2016,84223000,China,Djibouti,1398503.91,1677253.81,141271.38
2016,30049090,United Kingdom,Kenya,22422195.17,16428507.02,1787093.43
2016,82032000,United States,United States,1709543.7,104853.6,83515.7
2016,85359000,China,China,46252548.04,24832445.03,3251171.41
2016,30049090,Denmark,Denmark,2843951.77,4462419.49,334855.76
2016,39012000,Saudi Arabia,United Kingdom,3303760.03,11560159.31,664561.41
2016,73181900,China,China,6529249.59,9294050.52,700274.51
2016,82041200,China,China,2647041.98,2323218.11,225641.34
2016,84531000,China,China,62784022.29,10503501.04,3334598.72
2016,84145900,China,China,35947072.29,83537567.56,5459563.28
2016,63023200,China,China,6936746.36,3637316.4,479751.14
2016,84798200,China,China,8536410.25,30320979.51,1779629.94
2016,68151000,France,France,14733661.47,13140387.79,1282923.96
2016,85165000,China,China,2206699.98,277930.45,112741.64
2016,48099000,India,India,6935734.45,6936149.19,615149.86
2016,87054000,Italy,Djibouti,1361302.26,2714732.5,185758.04
2016,39039000,"Korea, Republic of",Djibouti,168000.0,5785907.9,266360.43
2016,55095100,Indonesia,Indonesia,123513.6,5777360.1,265966.92
2016,76061200,India,China,113549.0,5769583.0,265608.9
2016,84451100,Swaziland,Malaysia,13537.03,5541713.43,255118.68
2016,84271000,Switzerland,Switzerland,5407.0,5326198.21,245197.21
2016,72099000,Ukraine,Ukraine,505150.0,5294626.12,243743.75
2016,62079900,China,Somalia,12024305.73,4151262.82,717201.3
2016,83021000,China,China,23448049.41,26750596.01,2251679.08
2016,87042190,Japan,Saudi Arabia,58102914.45,58614240.32,5347300.89
2016,87164000,United Arab Emirates,United Arab Emirates,31687150.05,15593440.53,2151540.16
2016,84248900,India,India,2382300.65,5638919.77,368522.87
2016,84223000,India,India,5568635.95,36915418.82,1951589.17
2016,94054000,India,India,1997869.27,5758030.48,355682.88
2016,35019000,Germany,Djibouti,9108117.21,10001122.21,868361.69
2016,87089900,Japan,United Arab Emirates,22568522.14,30064958.68,2412064.21
2016,85446000,India,India,3266940.61,28513205.24,1443085.42
2016,38244000,United Arab Emirates,United Arab Emirates,31622484.37,21976183.29,2408107.44
2016,40113000,Belgium,Belgium,12952812.77,9278646.72,1019021.44
2016,84211900,China,China,58811268.35,122406567.84,8303705.05
2016,84778000,India,India,15768980.29,5164407.07,959819.04
2016,10063000,India,India,10800713.73,16233027.13,1175118.18
2016,84138190,China,Djibouti,7882790.84,2785409.68,488468.63
2016,11010000,Oman,Somalia,7354571.64,3702850.81,461162.71
2016,48196000,China,China,2431629.53,17909779.85,910831.83
2016,21041000,Egypt,Egypt,18325492.2,9114853.76,1243174.48
2016,88033000,Singapore,Singapore,5537238.81,5656266.39,515278.54
2016,85021200,Turkey,Turkey,8351881.59,4571258.25,592451.1
2016,85371000,Egypt,Egypt,74215.03,5898994.52,274129.23
2016,72092600,Ukraine,Ukraine,15132552.1,10595314.26,1073100.03
2016,85176900,Israel,Israel,5662555.06,4578730.14,471340.94
2016,62079900,Indonesia,Somalia,1285554.11,6521012.69,346067.22
